AE_Gujarat_2012																																													
Assembly_No	Year	month	DelimID	Poll_No	District_Name	Sub_Region	Constituency_Name	Constituency_No	Constituency_Type	Candidate	Sex	Age	Party	Position	Candidate_Type	Votes	Electors	Valid_Votes	Vote_Share_Percentage	Margin	Margin_Percentage	Turnout_Percentage	N_Cand	ENOP	last_poll	Contested	Last_Party	Last_Party_ID	Last_Constituency_Name	Same_Constituency	Same_Party	No_Terms	Turncoat	Incumbent	Recontest	Deposit_Lost	pid	Party_Type_TCPD	Party_ID	MyNeta_education	TCPD_Prof_Main	TCPD_Prof_Main_Desc	TCPD_Prof_Second	TCPD_Prof_Second_Desc	Election_Type
12	2012	12	4	0	Bharuch	South Gujarat	VAGRA	151	GEN	IQBAL IBRAHIM PATEL	M	58	INC	2	GEN	54194	172008	133903	40.47	50514	37.72	77.85	9	2.38	TRUE	3	INC	3482	VAGRA	TRUE	TRUE	1	FALSE	FALSE	FALSE	no	AEGJ9037	National Party	3482	Graduate	Business		Agriculture		State Assembly Election (AE)
12	2012	12	4	0	Bharuch	South Gujarat	JHAGADIA	152	ST	VASAVA CHHOTUBHAI AMARASINHBHAI	M	67	JD(U)	1	ST	66622	209013	170110	39.16	13304	7.82	81.39	5	3.33	TRUE	7	JD(U)	11002	JHAGADIA	TRUE	TRUE	6	FALSE	TRUE	TRUE	no	AEGJ6575	State-based Party (Other State)	11002	10th Pass	Agriculture		Social Work		State Assembly Election (AE)
12	2012	12	4	0	Bharuch	South Gujarat	JHAGADIA	152	ST	VASAVA BALUBHAI CHHOTUBHAI	M	62	INC	2	ST	53318	209013	170110	31.34	16845	9.9	81.39	5	3.33	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ14144	National Party	3482	5th Pass	Agriculture		Social Work		State Assembly Election (AE)
12	2012	12	4	0	Bharuch	South Gujarat	BHARUCH	153	GEN	DUSHYANTBHAI RAJNIKANT PATEL	M	47	BJP	1	GEN	92219	215933	154995	59.5	37190	23.99	71.78	11	2.08	TRUE	2	BJP	1605	BROACH	FALSE	TRUE	2	FALSE	TRUE	TRUE	no	AEGJ14149	National Party	1605	Graduate	Social Work				State Assembly Election (AE)
12	2012	12	4	0	Bharuch	South Gujarat	BHARUCH	153	GEN	SANDIP MANGROLA	M	35	INC	2	GEN	55029	215933	154995	35.5	52194	33.67	71.78	11	2.08	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ14152	National Party	3482	10th Pass	Business		Agriculture		State Assembly Election (AE)
12	2012	12	4	0	Bharuch	South Gujarat	ANKLESHWAR	154	GEN	ISHWARSINH THAKORBHAI PATEL	M	47	BJP	1	GEN	82645	189552	143256	57.69	31443	21.95	75.58	9	2.17	TRUE	3	BJP	1605	ANKLESHWAR	TRUE	TRUE	3	FALSE	TRUE	TRUE	no	AEGJ11312	National Party	1605	Graduate Professional	Agriculture				State Assembly Election (AE)
12	2012	12	4	0	Bharuch	South Gujarat	ANKLESHWAR	154	GEN	MAGANBHAI BALUBHAI PATEL (MASTER)	M	45	INC	2	GEN	51202	189552	143256	35.74	47861	33.41	75.58	9	2.17	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ14160	National Party	3482	Others	Retired or Pension	Retired Teacher	Agriculture		State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	OLPAD	155	GEN	MUKESHBHAI ZINABHAI PATEL	M	42	BJP	1	GEN	106805	270144	192100	55.6	37058	19.29	71.11	14	2.27	TRUE	1						1	FALSE	FALSE	FALSE	no	AEGJ14178	National Party	1605	12th Pass	Business	Contractor	Agriculture		State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	OLPAD	155	GEN	JAYESHKUMAR SHANKARBHAI PATEL	M	51	INC	2	GEN	69747	270144	192100	36.31	64707	33.68	71.11	14	2.27	TRUE	1						0	FALSE	FALSE	FALSE	no	AEGJ14170	National Party	3482	Graduate	Agriculture				State Assembly Election (AE)
12	2012	12	4	0	Surat	South Gujarat	MANGROL (ST)	156	ST	VASAVA GANPATSINH VESTABHAI	M	40	BJP	1	ST	79255	173952	140327	56.48	31106	22.17	80.67	5	2.27	TRUE	4	BJP	1605	MANGROL	TRUE	TRUE	3	FALSE	TRUE	TRUE	no	AEGJ10358	National Party	1605	Graduate	Agriculture				State Assembly Election (AE)
