AE_Gujarat_2017																																						
Year	Assembly_No	District_Name	Sub_Region	Name	Type	Number	Candidate	Sex	Age	Party	Position	No_Terms	Votes	Electors	Valid_Votes	Vote_Share_Percentage	Turnout_Percentage	Margin	Margin_Percentage	No of candidates	ENOP	last_poll	Contested	Last_Party	Last_Party_ID	Last_Constituency_Name	Same_Constituency	Same_Party	Turncoat	Incumbent	Recontest	pid	Party_Type_TCPD	Party_ID	MyNeta_education	TCPD_Prof_Main	TCPD_Prof_Main_Desc	TCPD_Prof_Second
2017	13	Kachchh	Saurashtra-Kutch	MANDVI	GEN	2	SAIYAD IMAMSHA LATIFSHA	M	41	IND	9	0	559	224902	160060	0.35	71.17	18	0.01	17	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ345	Independents	10809	Illiterate	Other		
2017	13	Kachchh	Saurashtra-Kutch	MANDVI	GEN	2	JOSHI SHAILESHBHAI BHAVANISANKAR	M	56	SP	10	0	541	224902	160060	0.34	71.17	107	0.07	17	2.27	TRUE	2	SAP	7575	ANJAR	FALSE	FALSE	TRUE	FALSE	FALSE	AEGJ10494	State-based Party (Other State)	7425	Graduate Professional	Liberal Profession or Professional	Doctor	
2017	13	Kachchh	Saurashtra-Kutch	MANDVI	GEN	2	RAMBHAI DHANRAJBHAI GADHAVI	M	53	IND	11	0	434	224902	160060	0.27	71.17	213	0.13	17	2.27	TRUE	3	IND	10809	MANDVI	TRUE	TRUE	FALSE	FALSE	TRUE	AEGJ11486	Independents	10809				
2017	13	Kachchh	Saurashtra-Kutch	MANDVI	GEN	2	VORA JAYESHBHAI PRAVEENCHANDRA	M	43	SHS	12	0	221	224902	160060	0.14	71.17	10	0.01	17	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ196	State-based Party (Other State)	18691	10th Pass	Business		
2017	13	Kachchh	Saurashtra-Kutch	MANDVI	GEN	2	BODA VASANTBHAI MORARJIBHAI	M	38	IND	13	0	211	224902	160060	0.13	71.17	32	0.02	17	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ277	Independents	10809	8th Pass	Other		
2017	13	Kachchh	Saurashtra-Kutch	MANDVI	GEN	2	DHRUIYA GULAMHUSEN SALEMAMAD	M	53	IND	14	0	179	224902	160060	0.11	71.17	1	0	17	2.27	TRUE	2	IND	10809	MANDVI	TRUE	TRUE	FALSE	FALSE	TRUE	AEGJ12758	Independents	10809	Literate	Business		Agriculture
2017	13	Kachchh	Saurashtra-Kutch	MANDVI	GEN	2	JAT AMIN KASAM	M	43	IND	15	0	178	224902	160060	0.11	71.17	2	0	17	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ259	Independents	10809	5th Pass	Labourer or Daily Wage		
2017	13	Kachchh	Saurashtra-Kutch	MANDVI	GEN	2	ANVARSHA BHACHHAMIYA SAIYAD	M	62	IND	16	0	176	224902	160060	0.11	71.17	56	0.03	17	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ228	Independents	10809				
2017	13	Kachchh	Saurashtra-Kutch	MANDVI	GEN	2	JOSHI PRATEEK YOGESHBHAI	M	29	IND	17	0	120	224902	160060	0.07	71.17	6	0	17	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ270	Independents	10809				
2017	13	Kachchh	Saurashtra-Kutch	MANDVI	GEN	2	KANERIYA BHAVIN GIRDHARBHAI	M	26	IND	18	0	114	224902	160060	0.07	71.17	0	0	17	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ255	Independents	10809	12th Pass	Other		
2017	13	Kachchh	Saurashtra-Kutch	BHUJ	GEN	3	ACHARYA DR.NIMABEN BHAVESHBHAI	F	69	BJP	1	4	86532	255823	170589	50.73	66.68	14022	8.22	13	2.27	TRUE	6	BJP	1605	BHUJ	TRUE	TRUE	FALSE	TRUE	TRUE	AEGJ4952	National Party	1605	Post Graduate	Liberal Profession or Professional	Doctor	
2017	13	Kachchh	Saurashtra-Kutch	BHUJ	GEN	3	CHAKI ADAMBHAI BUDHABHAI	M	58	INC	2	0	72510	255823	170589	42.51	66.68	67929	39.82	13	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ262	National Party	3482	Literate	Business		
2017	13	Kachchh	Saurashtra-Kutch	BHUJ	GEN	3	None of the Above			NOTA	3		4581	255823	170589	2.69	66.68	2604	1.53	13	2.27	TRUE											NOTA	5897				
2017	13	Kachchh	Saurashtra-Kutch	BHUJ	GEN	3	SINDHAL PRAKASH HARILAL	M	48	IND	4	0	1977	255823	170589	1.16	66.68	829	0.49	13	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ480	Independents	10809	12th Pass	Business		
2017	13	Kachchh	Saurashtra-Kutch	BHUJ	GEN	3	NODE KASAM MAHAMAD	M	60	BSP	5	0	1148	255823	170589	0.67	66.68	308	0.18	13	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ357	State-based Party (Other State)	16651	5th Pass	Retired or Pension		
2017	13	Kachchh	Saurashtra-Kutch	BHUJ	GEN	3	MALSHI RANA	M	44	IND	6	0	840	255823	170589	0.49	66.68	124	0.07	13	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ465	Independents	10809	10th Pass	Other		
2017	13	Kachchh	Saurashtra-Kutch	BHUJ	GEN	3	SODHA MADHUBHA RANAJI	M	39	SHS	7	0	716	255823	170589	0.42	66.68	109	0.06	13	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ371	State-based Party (Other State)	18691	10th Pass	Agriculture		
2017	13	Kachchh	Saurashtra-Kutch	BHUJ	GEN	3	SHAH PARESH VRAJLAL	M	51	IND	8	0	607	255823	170589	0.36	66.68	229	0.13	13	2.27	TRUE	2	IND	10809	BHUJ	TRUE	TRUE	FALSE	FALSE	FALSE	AEGJ11492	Independents	10809	8th Pass	Business	Real Estate or Builder or Developer or Construction	
2017	13	Kachchh	Saurashtra-Kutch	BHUJ	GEN	3	KOKA RAJESH KANTILAL	M	40	IND	9	0	378	255823	170589	0.22	66.68	41	0.02	13	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ380	Independents	10809	10th Pass	Other		
2017	13	Kachchh	Saurashtra-Kutch	BHUJ	GEN	3	GOHIL JIGNABA KARUBHA	F	33	RKSP	10	0	337	255823	170589	0.2	66.68	63	0.04	13	2.27	TRUE	1						FALSE	FALSE	FALSE	AEGJ370	Local Party	12157	12th Pass	Other		
